,user_id,credit_score,age,tenure,balance,products,credit_card,is_active_member,salary,churn,predictions,propensity_to_churn(%),ranking,phone_number,city,gender
0,15634602,619,42,2,0.0,1,1,1,101348.88,1,,,,8-906-360-2762,Челябинск,Женский
1,15647311,608,41,1,83807.86,1,0,1,112542.58,0,0.0,12.53,7.0,8-991-964-1214,Южноуральск,Женский
2,15619304,502,42,8,159660.8,3,1,0,113931.57,1,,,,8-956-505-6915,Челябинск,Женский
3,15701354,699,39,1,0.0,2,0,0,93826.63,0,,,,8-971-350-6721,Челябинск,Женский
4,15737888,850,43,2,125510.82,1,1,1,79084.1,0,,,,8-962-691-6090,Южноуральск,Женский
5,15574012,645,44,8,113755.78,2,1,0,149756.7,1,,,,8-911-100-3881,Южноуральск,Мужской
6,15592531,822,50,7,0.0,2,1,1,10062.8,0,,,,8-900-323-3725,Челябинск,Мужской
7,15656148,376,29,4,115046.74,4,1,0,119346.88,1,,,,8-921-272-5816,Магнитогорск,Женский
8,15792365,501,44,4,142051.06,2,0,1,74940.5,0,,,,8-926-230-9083,Челябинск,Мужской
9,15592389,684,27,2,134603.88,1,1,1,71725.73,0,,,,8-952-702-4547,Челябинск,Мужской
10,15767821,528,31,6,102016.72,2,0,0,80181.12,0,,,,8-967-636-9331,Челябинск,Мужской
11,15737173,497,24,3,0.0,2,1,0,76390.01,0,0.0,36.57,4.0,8-987-859-7755,Южноуральск,Мужской
12,15632264,476,34,10,0.0,2,1,0,26260.98,0,,,,8-970-404-2624,Челябинск,Женский
13,15691483,549,25,5,0.0,2,0,0,190857.8,0,,,,8-956-728-3455,Челябинск,Женский
14,15600882,635,35,7,0.0,2,1,1,65951.65,0,,,,8-939-755-7825,Южноуральск,Женский
15,15643966,616,45,3,143129.4,2,0,1,64327.26,0,,,,8-991-392-5639,Магнитогорск,Мужской
16,15737452,653,58,1,132602.88,1,1,0,5097.67,1,,,,8-916-430-6554,Магнитогорск,Мужской
17,15788218,549,24,9,0.0,2,1,1,14406.41,0,,,,8-905-397-4970,Южноуральск,Женский
18,15661507,587,45,6,0.0,1,0,0,158684.81,0,,,,8-914-507-4445,Южноуральск,Мужской
19,15568982,726,24,6,0.0,2,1,1,54724.03,0,,,,8-916-170-2134,Челябинск,Женский
20,15577657,732,41,8,0.0,2,1,1,170886.17,0,,,,8-936-406-7251,Челябинск,Мужской
21,15597945,636,32,8,0.0,2,1,0,138555.45,0,,,,8-929-195-9090,Южноуральск,Женский
22,15699309,510,38,4,0.0,1,1,0,118913.53,1,,,,8-995-341-5846,Южноуральск,Женский
23,15725737,669,46,3,0.0,2,0,1,8487.75,0,,,,8-993-685-1085,Челябинск,Мужской
24,15625047,846,38,5,0.0,1,1,1,187616.16,0,,,,8-911-941-9578,Челябинск,Женский
25,15738191,577,25,3,0.0,2,0,1,124508.29,0,,,,8-919-495-1555,Челябинск,Мужской
26,15736816,756,36,2,136815.64,1,1,1,170041.95,0,,,,8-922-742-6369,Магнитогорск,Мужской
27,15700772,571,44,9,0.0,2,0,0,38433.35,0,0.0,4.37,9.0,8-948-317-7842,Челябинск,Мужской
28,15728693,574,43,3,141349.44,1,1,1,100187.43,0,,,,8-936-862-8436,Магнитогорск,Женский
29,15656300,411,29,0,59697.17,2,1,1,53483.21,0,,,,8-968-916-8887,Челябинск,Мужской
30,15589475,591,39,3,0.0,3,1,0,140469.38,1,,,,8-997-450-9561,Южноуральск,Женский
31,15706552,533,36,7,85311.7,1,0,1,156731.9,0,1.0,95.83,1.0,8-985-983-2889,Челябинск,Мужской
32,15750181,553,41,9,110112.54,2,0,0,81898.81,0,0.0,44.92,3.0,8-952-821-6707,Магнитогорск,Мужской
33,15659428,520,42,6,0.0,2,1,1,34410.55,0,,,,8-957-751-5163,Южноуральск,Женский
34,15732963,722,29,9,0.0,2,1,1,142033.06,0,,,,8-936-220-1926,Южноуральск,Женский
35,15794171,475,45,0,134264.05,1,1,0,27822.99,1,,,,8-998-391-2189,Челябинск,Женский
36,15788448,490,31,3,145260.23,1,0,1,114066.77,0,1.0,56.84,2.0,8-937-647-2410,Южноуральск,Мужской
37,15729599,804,33,7,76548.6,1,0,1,98453.45,0,,,,8-993-103-1573,Южноуральск,Мужской
38,15717426,850,36,7,0.0,1,1,1,40812.9,0,,,,8-936-173-6147,Челябинск,Мужской
39,15585768,582,41,6,70349.48,2,0,1,178074.05,0,,,,8-945-642-1827,Магнитогорск,Мужской
40,15619360,472,40,4,0.0,1,1,0,70154.22,0,,,,8-993-631-7674,Южноуральск,Мужской
41,15738148,465,51,8,122522.32,1,0,0,181297.66,1,,,,8-986-124-2405,Челябинск,Женский
42,15687946,556,61,2,117419.35,1,1,1,94153.83,0,,,,8-943-884-1874,Челябинск,Женский
43,15755196,834,49,2,131394.56,1,0,0,194365.77,1,,,,8-988-560-1977,Челябинск,Женский
44,15684171,660,61,5,155931.11,1,1,1,158338.39,0,,,,8-950-210-1964,Южноуральск,Женский
45,15754849,776,32,4,109421.13,2,1,1,126517.46,0,0.0,3.59,9.0,8-925-274-7997,Магнитогорск,Женский
46,15602280,829,27,9,112045.67,1,1,1,119708.21,1,,,,8-914-518-1606,Магнитогорск,Женский
47,15771573,637,39,9,137843.8,1,1,1,117622.8,1,,,,8-907-817-3652,Магнитогорск,Женский
48,15766205,550,38,2,103391.38,1,0,1,90878.13,0,,,,8-963-325-6525,Магнитогорск,Мужской
49,15771873,776,37,2,103769.22,2,1,0,194099.12,0,,,,8-991-180-7769,Магнитогорск,Женский
50,15616550,698,44,10,116363.37,2,1,0,198059.16,0,,,,8-998-671-8838,Магнитогорск,Мужской
51,15768193,585,36,5,146050.97,2,0,0,86424.57,0,,,,8-903-766-5706,Магнитогорск,Мужской
52,15683553,788,33,5,0.0,2,0,0,116978.19,0,,,,8-915-983-8700,Челябинск,Женский
53,15702298,655,41,8,125561.97,1,0,0,164040.94,1,,,,8-900-522-8854,Магнитогорск,Мужской
54,15569590,601,42,1,98495.72,1,1,0,40014.76,1,,,,8-981-487-1531,Магнитогорск,Мужской
55,15760861,619,43,1,125211.92,1,1,1,113410.49,0,,,,8-940-731-6689,Челябинск,Мужской
56,15630053,656,45,5,127864.4,1,1,0,87107.57,0,,,,8-963-499-8369,Челябинск,Мужской
57,15647091,725,19,0,75888.2,1,0,0,45613.75,0,,,,8-908-367-7960,Магнитогорск,Мужской
58,15623944,511,66,4,0.0,1,1,0,1643.11,1,,,,8-993-353-7950,Южноуральск,Женский
